2026-08-16 18:56:03 | INFO     | SIGS | Banco de dados inicializado em: C:\Users\rs_ma\Documents\GitDesk\SIGS\database\senhas.db
2026-08-16 19:05:29 | INFO     | SIGS | Login realizado: 'comigo2' (perfil recrutador, guichê 2).
2026-08-16 19:08:12 | ERROR    | SIGS | Não há senhas aguardando chamada.
2026-08-16 19:08:18 | INFO     | SIGS | Senha id=1 finalizada.
2026-08-16 19:08:20 | ERROR    | SIGS | Não há senhas aguardando chamada.
2026-08-16 19:08:22 | ERROR    | SIGS | Não há senhas aguardando chamada.
2026-08-16 19:13:26 | INFO     | SIGS | Banco de dados inicializado em: C:\Users\rs_ma\Documents\GitDesk\SIGS\database\senhas.db
2026-08-16 19:14:08 | INFO     | SIGS | Senha emitida: número 003 (id=3, empresa='COMIGO')
2026-08-16 19:14:15 | INFO     | SIGS | Ticket impresso com sucesso: senha 003 na impressora 'Microsoft Print to PDF'.
2026-08-16 19:14:39 | INFO     | SIGS | Senha emitida: número 004 (id=4, empresa='COMIGO')
2026-08-16 19:14:45 | INFO     | SIGS | Ticket impresso com sucesso: senha 004 na impressora 'Microsoft Print to PDF'.
2026-08-16 19:14:53 | INFO     | SIGS | Senha 003 chamada no guichê 'Mesa 01 — COMIGO' por 'Recrutador COMIGO'.
2026-08-16 19:14:54 | INFO     | SIGS | Senha 004 chamada no guichê 'Mesa 02 — COMIGO' por 'Recrutador COMIGO 2'.
2026-08-16 20:03:56 | INFO     | SIGS | Banco de dados inicializado em: C:\Users\rs_ma\Documents\GitDesk\SIGS\database\senhas.db
2026-08-16 20:04:18 | INFO     | SIGS | Repetição de chamada da senha 004.
2026-08-16 20:04:26 | INFO     | SIGS | Repetição de chamada da senha 004.
2026-08-16 20:04:36 | INFO     | SIGS | Repetição de chamada da senha 004.
2026-08-16 20:04:38 | INFO     | SIGS | Repetição de chamada da senha 004.
2026-08-16 20:07:41 | INFO     | SIGS | Repetição de chamada da senha 004.
2026-08-16 20:07:43 | INFO     | SIGS | Repetição de chamada da senha 004.
2026-08-16 20:07:44 | INFO     | SIGS | Senha id=4 finalizada.
2026-08-16 20:07:45 | INFO     | SIGS | Senha id=3 finalizada.
2026-08-16 20:19:29 | ERROR    | SIGS | Não há senhas aguardando chamada.
2026-08-16 20:19:31 | ERROR    | SIGS | Não há senhas aguardando chamada.
2026-08-16 20:21:13 | INFO     | SIGS | Senha emitida: número 005 (id=5, empresa='COMIGO')
2026-08-16 20:21:18 | INFO     | SIGS | Ticket impresso com sucesso: senha 005 na impressora 'Microsoft Print to PDF'.
2026-08-16 20:21:24 | INFO     | SIGS | Senha emitida: número 006 (id=6, empresa='COMIGO')
2026-08-16 20:21:30 | INFO     | SIGS | Ticket impresso com sucesso: senha 006 na impressora 'Microsoft Print to PDF'.
2026-08-16 20:21:39 | INFO     | SIGS | Senha 005 chamada no guichê 'Mesa 01 — COMIGO' por 'Recrutador COMIGO'.
2026-08-16 20:21:40 | INFO     | SIGS | Senha 006 chamada no guichê 'Mesa 02 — COMIGO' por 'Recrutador COMIGO 2'.
2026-08-16 20:22:28 | INFO     | SIGS | Repetição de chamada da senha 006.
2026-08-16 20:22:32 | INFO     | SIGS | Repetição de chamada da senha 006.
2026-08-16 20:23:05 | INFO     | SIGS | Repetição de chamada da senha 006.
2026-08-16 20:23:06 | INFO     | SIGS | Repetição de chamada da senha 006.
2026-08-16 20:23:06 | INFO     | SIGS | Repetição de chamada da senha 006.
2026-08-16 20:23:08 | ERROR    | SIGS | Não há senhas aguardando chamada.
2026-08-16 20:23:59 | INFO     | SIGS | Repetição de chamada da senha 006.
2026-08-16 20:24:01 | INFO     | SIGS | Repetição de chamada da senha 006.
2026-08-16 20:24:02 | INFO     | SIGS | Repetição de chamada da senha 006.
2026-08-16 20:24:02 | INFO     | SIGS | Repetição de chamada da senha 006.
2026-08-16 20:24:03 | INFO     | SIGS | Repetição de chamada da senha 006.
2026-08-16 20:29:15 | INFO     | SIGS | Banco de dados inicializado em: C:\Users\rs_ma\Documents\GitDesk\SIGS\database\senhas.db
2026-08-16 20:29:26 | INFO     | SIGS | Senha emitida: número 007 (id=7, empresa='COMIGO')
2026-08-16 20:29:31 | INFO     | SIGS | Ticket impresso com sucesso: senha 007 na impressora 'Microsoft Print to PDF'.
2026-08-16 20:29:37 | INFO     | SIGS | Senha emitida: número 008 (id=8, empresa='COMIGO')
2026-08-16 20:29:41 | INFO     | SIGS | Ticket impresso com sucesso: senha 008 na impressora 'Microsoft Print to PDF'.
2026-08-16 20:29:56 | INFO     | SIGS | Senha id=6 finalizada.
2026-08-16 20:29:56 | INFO     | SIGS | Senha 007 chamada no guichê 'Mesa 02 — COMIGO' por 'Recrutador COMIGO 2'.
2026-08-16 20:30:00 | INFO     | SIGS | Senha id=5 finalizada.
2026-08-16 20:30:00 | INFO     | SIGS | Senha 008 chamada no guichê 'Mesa 01 — COMIGO' por 'Recrutador COMIGO'.
2026-08-16 20:30:20 | INFO     | SIGS | Repetição de chamada da senha 008.
2026-08-16 20:30:22 | INFO     | SIGS | Repetição de chamada da senha 007.
2026-08-16 20:30:23 | INFO     | SIGS | Repetição de chamada da senha 007.
2026-08-16 20:30:25 | INFO     | SIGS | Repetição de chamada da senha 008.
2026-08-16 20:30:28 | INFO     | SIGS | Repetição de chamada da senha 008.
2026-08-16 20:30:29 | INFO     | SIGS | Repetição de chamada da senha 007.
2026-08-16 20:30:32 | INFO     | SIGS | Repetição de chamada da senha 008.
2026-08-16 20:31:55 | INFO     | SIGS | Repetição de chamada da senha 007.
2026-08-16 20:32:02 | INFO     | SIGS | Repetição de chamada da senha 008.
2026-08-16 20:32:08 | INFO     | SIGS | Senha id=7 finalizada.
2026-08-16 20:32:09 | INFO     | SIGS | Senha id=8 finalizada.
2026-08-16 20:33:20 | INFO     | SIGS | Logout realizado: 'mariamatos'.
2026-08-16 20:34:42 | INFO     | SIGS | Logout realizado: 'comigo'.
2026-08-16 20:34:50 | INFO     | SIGS | Logout realizado: 'comigo2'.
2026-08-16 20:35:12 | INFO     | SIGS | Logout realizado: 'rogeriomatos'.
